unique_im,stim_pos,stim_pos_i,orient_deg,orient_i,contrast,contrast_i,phase_deg,phase_i,delta_deg,delta_i,is_specialcore,ltm_paired_stim,ltm_paired_stim_class_i
1,left,1,11.25,1,0.05,1,0,1,0,0,0,NaN,NaN
9,right,2,11.25,1,0.2,2,0,1,0,0,0,NaN,NaN
17,left,1,11.25,1,0.8,3,0,1,0,0,1,71,4
111,,NaN,11.25,1,0.8,3,0,1,-16,1,0,NaN,NaN
112,,NaN,11.25,1,0.8,3,0,1,-8,2,0,NaN,NaN
113,,NaN,11.25,1,0.8,3,0,1,8,3,0,NaN,NaN
114,,NaN,11.25,1,0.8,3,0,1,16,4,0,NaN,NaN
2,right,2,33.75,2,0.05,1,90,2,0,0,0,NaN,NaN
10,left,1,33.75,2,0.2,2,90,2,0,0,0,NaN,NaN
18,right,2,33.75,2,0.8,3,90,2,0,0,1,44,2
115,,NaN,33.75,2,0.8,3,90,2,-16,1,0,NaN,NaN
116,,NaN,33.75,2,0.8,3,90,2,-8,2,0,NaN,NaN
117,,NaN,33.75,2,0.8,3,90,2,8,3,0,NaN,NaN
118,,NaN,33.75,2,0.8,3,90,2,16,4,0,NaN,NaN
3,left,1,56.25,3,0.05,1,180,3,0,0,0,NaN,NaN
11,right,2,56.25,3,0.2,2,180,3,0,0,0,NaN,NaN
19,left,1,56.25,3,0.8,3,180,3,0,0,1,55,3
119,,NaN,56.25,3,0.8,3,180,3,-16,1,0,NaN,NaN
120,,NaN,56.25,3,0.8,3,180,3,-8,2,0,NaN,NaN
121,,NaN,56.25,3,0.8,3,180,3,8,3,0,NaN,NaN
122,,NaN,56.25,3,0.8,3,180,3,16,4,0,NaN,NaN
4,right,2,78.75,4,0.05,1,270,4,0,0,0,NaN,NaN
12,left,1,78.75,4,0.2,2,270,4,0,0,0,NaN,NaN
20,right,2,78.75,4,0.8,3,270,4,0,0,1,42,2
123,,NaN,78.75,4,0.8,3,270,4,-16,1,0,NaN,NaN
124,,NaN,78.75,4,0.8,3,270,4,-8,2,0,NaN,NaN
125,,NaN,78.75,4,0.8,3,270,4,8,3,0,NaN,NaN
126,,NaN,78.75,4,0.8,3,270,4,16,4,0,NaN,NaN
5,left,1,101.25,5,0.05,1,0,1,0,0,0,NaN,NaN
13,right,2,101.25,5,0.2,2,0,1,0,0,0,NaN,NaN
21,left,1,101.25,5,0.8,3,0,1,0,0,1,41,2
127,,NaN,101.25,5,0.8,3,0,1,-16,1,0,NaN,NaN
128,,NaN,101.25,5,0.8,3,0,1,-8,2,0,NaN,NaN
129,,NaN,101.25,5,0.8,3,0,1,8,3,0,NaN,NaN
130,,NaN,101.25,5,0.8,3,0,1,16,4,0,NaN,NaN
6,right,2,123.75,6,0.05,1,90,2,0,0,0,NaN,NaN
14,left,1,123.75,6,0.2,2,90,2,0,0,0,NaN,NaN
22,right,2,123.75,6,0.8,3,90,2,0,0,1,72,4
131,,NaN,123.75,6,0.8,3,90,2,-16,1,0,NaN,NaN
132,,NaN,123.75,6,0.8,3,90,2,-8,2,0,NaN,NaN
133,,NaN,123.75,6,0.8,3,90,2,8,3,0,NaN,NaN
134,,NaN,123.75,6,0.8,3,90,2,16,4,0,NaN,NaN
7,left,1,146.25,7,0.05,1,180,3,0,0,0,NaN,NaN
15,right,2,146.25,7,0.2,2,180,3,0,0,0,NaN,NaN
23,left,1,146.25,7,0.8,3,180,3,0,0,1,53,3
135,,NaN,146.25,7,0.8,3,180,3,-16,1,0,NaN,NaN
136,,NaN,146.25,7,0.8,3,180,3,-8,2,0,NaN,NaN
137,,NaN,146.25,7,0.8,3,180,3,8,3,0,NaN,NaN
138,,NaN,146.25,7,0.8,3,180,3,16,4,0,NaN,NaN
8,right,2,168.75,8,0.05,1,270,4,0,0,0,NaN,NaN
16,left,1,168.75,8,0.2,2,270,4,0,0,0,NaN,NaN
24,right,2,168.75,8,0.8,3,270,4,0,0,1,61,3
139,,NaN,168.75,8,0.8,3,270,4,-16,1,0,NaN,NaN
140,,NaN,168.75,8,0.8,3,270,4,-8,2,0,NaN,NaN
141,,NaN,168.75,8,0.8,3,270,4,8,3,0,NaN,NaN
142,,NaN,168.75,8,0.8,3,270,4,16,4,0,NaN,NaN
